CONTENT,LABEL
"You've been selected to participate in an anonymous survey about your experiences with 99 SPEEDMART. We are opening a new warehouse and today is your lucky day. We have chosen 250 Malaysian consumers including you to participate in a brief survey of 99 SPEEDMART.. We want your opinion!
We need your feedback to improve our services, and as a thank you, you can select from several exclusive offer rewards!",1
"We are opening a new warehouse and today is your lucky day. We have chosen 250 consumers from Malaysian to participate in a brief survey of IKEA. All participants will get a chance to receive (1) optional reward. Please tell us about your IKEA experience and as a thank you, you can select from several exclusive offer rewards! With sincere thanks, you can choose (1) of the exclusive offer rewards ",1
"We have found your pending gift! Please tell us your experience about Lazada servies and as a thank you, you can select from several exclusive offer rewards!",1
"Pendapat atau pandangan Anda sangat penting bagi kajian kali ini. Kami sedang mencari komen dan cadangan yang menarik. Jangan terlepas peluang untuk berkongsi komen Anda dan mendapat hadiah! Kajian akan berakhir secara automatik, kalau kami sudah mengumpulkan jawaban yang cukup. Sila pergi ke menjawab kaji selidik secepat mungkin supaya tidak melewatkan kajian yang menarik!",1
JSPT mendapati satu mesej telah tular melalui sebaran aplikasi WhatsApp mengenai tindakan saman ke atas penumpang kenderaan yang tidak memakai tali pinggang keledar belakang di lebuhraya utara selatan.,0
Promosi Loan Dari Bank Faedah Dari 4%* Amt Pinjaman Sehingga Rm100k Free Proses Semua Boleh Cuba Dokumen Diperlu: Slip Gaji 2bln Penyata Bank 2bln IC Call Sekarang Utk Maklumat Lanjut https://wa.me/60179911828 Banker Are Welcome To Participate With Us,1
Pihak Polis IPD Kuantan/ Hotline DCC COVID-19 IPD Kuantan ? tidak pernah mengeluarkan kenyataan berkaitan Penguatkuasaan Undang-undang SOP PKPB COVID-19 seperti yang ditularkan . Kanak-kanak dibawah umur 12 tahun tidak digalakkan bukan tidak dibenarkan memasuki Mall / kedai makan dengan mematuhi SOP PKPB yang dikeluarkan oleh MKN berkuatkuasa pada 19/02/2021.,0
"Menurut Ketua Pengarah Kesihatan, Tan Sri Dr Noor Hisham merujuk kepada?video sesi libat urus KKM dengan pihak media?bagi memahami perkara sebenar yang diperkatakan mengenai isu pemberian vaksin kepada bukan warganegara PADI/PATI. Laporan media mestilah tepat dan tidak menyeleweng.",0
Dimaklumkan bahawa video tular yang memaparkan YB Menteri Kanan Pertahanan hadir dalam satu majlis bersama barisan artis adalah merupakan video lama.,0
"ANDA ADA DUIT SYILING ATAU KERTAS LAMA? JUALKAN DI SINI KERANA HARGA SEMAKIN HARI SEMAKIN MENINGKAT MENCECAH RM32,000 SEKEPING..KLIK SINI UNTUK MENDAPATKAN NOMBOR TELEFON UNTUK MENJUALKANNYA..",1
"The framework may involve a collection of functions within the system and how they interrelate, such as the layers of the operating system, the layers of the application subsystem, how communication should be standardized at some level of the network, and so on.",0
"EDM (Evaluate, Direct, and Monitor) ensures that the interests of stakeholders are determined by defining and deciding on the goals to be accomplished, which are driven by prioritization and are often tracked against target results",0
casino,1
betmoney,1
